PDB_ID	_exptl_crystal_grow.pH
5B1N	6.9
5B1O	6.9
5B7P	4.6
5B7Q	4.6
5EYO	5.6
5F2C	7.5
5F30	5.6
5F36	5.5
5F3A	5.5
5F53	7.5
5F6C	8.5
5F72	7.5
5F73	6.5
5F75	5
5F76	6.5
5F7G	4.5
5F7J	6.5
5F7O	6.5
5F7X	6.5
5F8T	7.5
5F8X	8.5
5F8Z	8.5
5F9K	7
5F9P	7.5
5FAK	6.5
5FAZ	4.5
5FB2	6.2
5FB7	4.6
5FPF	8.5
5FPG	9
5GJH	7.5
5GJI	4.6
5GR8	8.5
5H2V	7
5H2W	5.5
5H2X	6.5
5HOT	5.6
5HRN	6.5
5HRP	6.5
5HRR	6.5
5HRS	6.5
5HWI	7
5HWK	8
5I0B	8.5
5I0R	8
5I0S	6.2
5I0T	6.8
5IDK	7
5J51	7.4
5JM1	7.4
5JVV	4.4
5K3W	7
5KA5	4.5
5KA6	6.5
5KNG	4.6
5KNH	4.5
5KOY	9
5KPQ	7.5
5L37	4.5
5L38	7.5
5L39	5.6
5L57	8.5
5L58	8.5
5LF5	7
5LG1	6.5
5LKR	7.4
5LXR	6.5
5LXY	6.5
5M2C	5
5M33	5
5M3T	5
5M4R	4
5M96	7
5MDM	7.5
5MDN	6.5
5MGY	6.5
5MKG	5.2
5SUH	8.5
5SUO	8.5
5SVI	6.5
5SWA	5.5
5SWB	4.6
5SWI	5.5
5T1A	6.1
5TPY	7.5
5TPZ	5
5TSQ	7.5
5TTI	6.5
5TV7	8.5
5TXG	8.5
5TXU	7
5U1O	7
5U4H	7
5U4Q	8.3
5WRN	6.5
5DGF	7
5DGV	7
1FCZ	7
