PDB_ID	Component_ID	InChI
2N3Y	MH0	InChI=1S/C34H36N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h13-16H,7-12H2,1-6H3,(H,39,40)(H,41,42);/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-;
2NB9	ZN	InChI=1S/Zn/q+2
5B1D	CA	InChI=1S/Ca/q+2
5B1E	CA	InChI=1S/Ca/q+2
5B7P	MTA	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1
5B7Q	5AD	InChI=1S/C10H13N5O3/c1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15/h2-4,6-7,10,16-17H,1H3,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1
5F2C	NAP	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1
5F30	CU	InChI=1S/Cu/q+2
5F30	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5F30	PEG	InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2
5F36	5UE	InChI=1S/C8H11N3O2S/c1-4(9)7(13)11-8-10-6(3-14-8)5(2)12/h3-4H,9H2,1-2H3,(H,10,11,13)/p+1/t4-/m1/s1
5F36	CL	InChI=1S/ClH/h1H/p-1
5F3A	5U9	InChI=1S/C9H11N3O2S/c1-5(13)7-4-15-9(11-7)12-8(14)6-2-10-3-6/h4,6,10H,2-3H2,1H3,(H,11,12,14)/p+1
5F53	CD	InChI=1S/Cd/q+2
5F53	CL	InChI=1S/ClH/h1H/p-1
5F6C	MG	InChI=1S/Mg/q+2
5F6C	ZN	InChI=1S/Zn/q+2
5F75	CU	InChI=1S/Cu/q+2
5F76	MTA	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1
5F77	ADE	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
5F7G	RET	InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+
5F7G	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5F7J	ADE	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
5F7J	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5F7O	ADE	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
5F7X	TBN	InChI=1S/C11H14N4O4/c12-9-5-1-2-15(10(5)14-4-13-9)11-8(18)7(17)6(3-16)19-11/h1-2,4,6-8,11,16-18H,3H2,(H2,12,13,14)/t6-,7-,8-,11-/m1/s1
5F8P	FIJ	InChI=1S/C18H18Cl2O4/c1-17(2)8-18(3,9-4-11(19)14(22)6-13(9)21)24-16-7-15(23)12(20)5-10(16)17/h4-7,21-23H,8H2,1-3H3/t18-/m0/s1
5F8P	AKG	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)
5F8P	FE2	InChI=1S/Fe/q+2
5F8T	MRZ	InChI=1S/C6H13N3/c7-6(8)9-4-2-1-3-5-9/h1-5H2,(H3,7,8)
5F8X	MRZ	InChI=1S/C6H13N3/c7-6(8)9-4-2-1-3-5-9/h1-5H2,(H3,7,8)
5F8Z	MRZ	InChI=1S/C6H13N3/c7-6(8)9-4-2-1-3-5-9/h1-5H2,(H3,7,8)
5F9K	DUP	InChI=1S/C9H16N3O13P3/c13-5-3-8(12-2-1-7(14)10-9(12)15)24-6(5)4-23-26(16,17)11-27(18,19)25-28(20,21)22/h1-2,5-6,8,13H,3-4H2,(H,10,14,15)(H2,20,21,22)(H3,11,16,17,18,19)/t5-,6+,8+/m0/s1
5F9K	MG	InChI=1S/Mg/q+2
5FAK	ADE	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
5FAZ	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5FAZ	RET	InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+
5FB7	ACD	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-
5FBJ	AKG	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)
5FBJ	NMM	InChI=1S/C7H16N4O2/c1-10-7(9)11-4-2-3-5(8)6(12)13/h5H,2-4,8H2,1H3,(H,12,13)(H3,9,10,11)/t5-/m0/s1
5FBJ	ZN	InChI=1S/Zn/q+2
5FPF	ZN	InChI=1S/Zn/q+2
5FPF	5ZI	InChI=1S/C27H21N5O3/c33-24(15-14-23-30-21-8-2-1-7-20(21)27(35)32-23)29-19-12-10-18(11-13-19)26(34)31-22-9-3-5-17-6-4-16-28-25(17)22/h1-13,16H,14-15H2,(H,29,33)(H,31,34)(H,30,32,35)
5FPG	ZN	InChI=1S/Zn/q+2
5FPG	Q28	InChI=1S/C28H23N5O3/c1-17-5-2-8-21-25(17)32-23(33-28(21)36)14-15-24(34)30-20-12-10-19(11-13-20)27(35)31-22-9-3-6-18-7-4-16-29-26(18)22/h2-13,16H,14-15H2,1H3,(H,30,34)(H,31,35)(H,32,33,36)
5FQ4	CA	InChI=1S/Ca/q+2
5GKX	PO4	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3
5GL2	CA	InChI=1S/Ca/q+2
5GL3	MG	InChI=1S/Mg/q+2
5GL4	MN	InChI=1S/Mn/q+2
5GN8	CA	InChI=1S/Ca/q+2
5GQR	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5GR8	NAG	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1
5H4I	7HQ	InChI=1S/C8H8N2O/c11-6-10-5-9-7-3-1-2-4-8(7)10/h1-5,11H,6H2
5H4I	ACT	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1
5HL9	AIX	InChI=1S/C16H21N3O4S/c1-16(2)12(15(22)23)19-14(24-16)10(8-20)18-13(21)11(17)9-6-4-3-5-7-9/h3-8,10-12,14,19H,17H2,1-2H3,(H,18,21)(H,22,23)/t10-,11-,12+,14-/m1/s1
